scenario,source,variable,shock,horizon,response
rstar_3,dynare,x,e_pi,16,-1.6970757567e-06
rstar_3,dynare,x,e_pi,17,-1.11341234002e-06
rstar_3,dynare,x,e_pi,18,-7.30484207328e-07
rstar_3,dynare,x,e_pi,19,-4.79253873857e-07
rstar_3,dynare,x,e_i,0,-0.00306547961982
rstar_3,dynare,x,e_i,1,-0.00201119061616
rstar_3,dynare,x,e_i,2,-0.00131949586889
rstar_3,dynare,x,e_i,3,-0.000865690866909
rstar_3,dynare,x,e_i,4,-0.000567959850969
rstar_3,dynare,x,e_i,5,-0.000372625384699
rstar_3,dynare,x,e_i,6,-0.000244470937665
rstar_3,dynare,x,e_i,7,-0.000160391754874
rstar_3,dynare,x,e_i,8,-0.000105229338413
rstar_3,dynare,x,e_i,9,-6.90385467228e-05
rstar_3,dynare,x,e_i,10,-4.52946013486e-05
rstar_3,dynare,x,e_i,11,-2.9716745336e-05
rstar_3,dynare,x,e_i,12,-1.94964725833e-05
rstar_3,dynare,x,e_i,13,-1.27911868845e-05
rstar_3,dynare,x,e_i,14,-8.39200328239e-06
rstar_3,dynare,x,e_i,15,-5.50580018317e-06
rstar_3,dynare,x,e_i,16,-3.61222876552e-06
rstar_3,dynare,x,e_i,17,-2.36990014537e-06
rstar_3,dynare,x,e_i,18,-1.55483693409e-06
rstar_3,dynare,x,e_i,19,-1.02009272261e-06
rstar_3,dynare,pi,e_x,0,0.000212484029619
rstar_3,dynare,pi,e_x,1,-0.000188632610012
rstar_3,dynare,pi,e_x,2,-0.00012375751341
rstar_3,dynare,pi,e_x,3,-8.11944558494e-05
rstar_3,dynare,pi,e_x,4,-5.32698135171e-05
rstar_3,dynare,pi,e_x,5,-3.49490984632e-05
rstar_3,dynare,pi,e_x,6,-2.29292990297e-05
rstar_3,dynare,pi,e_x,7,-1.50433852979e-05
rstar_3,dynare,pi,e_x,8,-9.86961881941e-06
rstar_3,dynare,pi,e_x,9,-6.47522972468e-06
rstar_3,dynare,pi,e_x,10,-4.248249173e-06
rstar_3,dynare,pi,e_x,11,-2.78717849455e-06
rstar_3,dynare,pi,e_x,12,-1.82860365391e-06
rstar_3,dynare,pi,e_x,13,-1.19970476582e-06
rstar_3,dynare,pi,e_x,14,-7.8709868158e-07
rstar_3,dynare,pi,e_x,15,-5.1639732724e-07
rstar_3,dynare,pi,e_x,16,-3.38796399767e-07
rstar_3,dynare,pi,e_x,17,-2.22276519339e-07
rstar_3,dynare,pi,e_x,18,-1.45830507891e-07
rstar_3,dynare,pi,e_x,19,-9.56760394437e-08
rstar_3,dynare,pi,e_pi,0,0.00235704187662
rstar_3,dynare,pi,e_pi,1,-0.000270932319121
rstar_3,dynare,pi,e_pi,2,-0.000177752458149
rstar_3,dynare,pi,e_pi,3,-0.000116619296216
rstar_3,dynare,pi,e_pi,4,-7.6511235859e-05
rstar_3,dynare,pi,e_pi,5,-5.01972606816e-05
rstar_3,dynare,pi,e_pi,6,-3.29332672731e-05
rstar_3,dynare,pi,e_pi,7,-2.16067585871e-05
rstar_3,dynare,pi,e_pi,8,-1.41756969562e-05
rstar_3,dynare,pi,e_pi,9,-9.30034847122e-06
rstar_3,dynare,pi,e_pi,10,-6.10174455292e-06
rstar_3,dynare,pi,e_pi,11,-4.00321414883e-06
rstar_3,dynare,pi,e_pi,12,-2.6264166555e-06
rstar_3,dynare,pi,e_pi,13,-1.72313151179e-06
rstar_3,dynare,pi,e_pi,14,-1.13050692117e-06
rstar_3,dynare,pi,e_pi,15,-7.41699568532e-07
rstar_3,dynare,pi,e_pi,16,-4.86612014184e-07
rstar_3,dynare,pi,e_pi,17,-3.19254941481e-07
rstar_3,dynare,pi,e_pi,18,-2.09455818371e-07
rstar_3,dynare,pi,e_pi,19,-1.37419141097e-07
rstar_3,dynare,pi,e_i,0,-0.000878982099856
rstar_3,dynare,pi,e_i,1,-0.000576679922963
rstar_3,dynare,pi,e_i,2,-0.000378346423212
rstar_3,dynare,pi,e_i,3,-0.000248224379344
rstar_3,dynare,pi,e_i,4,-0.000162854301562
rstar_3,dynare,pi,e_i,5,-0.000106844958611
rstar_3,dynare,pi,e_i,6,-7.00985179457e-05
rstar_3,dynare,pi,e_i,7,-4.59900240691e-05
rstar_3,dynare,pi,e_i,8,-3.01729961754e-05
rstar_3,dynare,pi,e_i,9,-1.97958082569e-05
rstar_3,dynare,pi,e_i,10,-1.29875741297e-05
rstar_3,dynare,pi,e_i,11,-8.52084843345e-06
rstar_3,dynare,pi,e_i,12,-5.59033252097e-06
rstar_3,dynare,pi,e_i,13,-3.66768848656e-06
rstar_3,dynare,pi,e_i,14,-2.40628599174e-06
rstar_3,dynare,pi,e_i,15,-1.57870885035e-06
rstar_3,dynare,pi,e_i,16,-1.03575453738e-06
rstar_3,dynare,pi,e_i,17,-6.79534710573e-07
rstar_3,dynare,pi,e_i,18,-4.45827081812e-07
rstar_3,dynare,pi,e_i,19,-2.92496886155e-07
rstar_3,dynare,i,e_x,0,0.000156226433192
rstar_3,dynare,i,e_x,1,0.000102496566736
rstar_3,dynare,i,e_x,2,6.72456381297e-05
rstar_3,dynare,i,e_x,3,4.41183152906e-05
rstar_3,dynare,i,e_x,4,2.89450111295e-05
rstar_3,dynare,i,e_x,5,1.89901555345e-05
rstar_3,dynare,i,e_x,6,1.24590039234e-05
rstar_3,dynare,i,e_x,7,8.17406568793e-06
rstar_3,dynare,i,e_x,8,5.36281634401e-06
rstar_3,dynare,i,e_x,9,3.51842035991e-06
rstar_3,dynare,i,e_x,10,2.30835460976e-06
rstar_3,dynare,i,e_x,11,1.51445832486e-06
rstar_3,dynare,i,e_x,12,9.93601246547e-07
rstar_3,dynare,i,e_x,13,6.51878906758e-07
