variable,period,e_x,e_pi,e_i,initial,smoothed
i,21,0.0003909288117,-0.000860765596,0.001792505703,4.028901333e-09,0.001322672948
i,22,0.001163236425,2.795718747e-05,0.000915063111,1.981704151e-09,0.002106258706
i,23,0.001866127305,9.766340873e-05,0.000746063062,8.412469597e-10,0.002709854617
i,24,0.00270444092,-0.0009973142369,0.001090049012,2.684391576e-10,0.002797175963
i,25,0.003025787837,-0.000925714782,0.0001704066032,1.740782128e-11,0.002270479675
i,26,0.003016556868,0.0005633610454,-0.00138474764,-6.875306661e-11,0.002195170205
i,27,0.002818380336,0.002693925091,-0.002389066249,-8.054288486e-11,0.003123239098
i,28,0.003254216838,0.002470001413,-0.001629587641,-6.522815361e-11,0.004094630545
i,29,0.004162109598,0.001911458315,-0.0009454037845,-4.470211614e-11,0.005128164084
i,30,0.004440791857,0.003366853496,-0.00234779066,-2.73579848e-11,0.005459854666
i,31,0.004615873121,0.004680197972,-0.0009948824961,-1.518084269e-11,0.008301188582
i,32,0.004760701704,0.002746213692,0.002432001799,-7.58968062e-12,0.009938917188
i,33,0.003042791591,0.000973988515,-0.0006091398613,-3.303337638e-12,0.003407640242
i,34,-0.0008287947216,-0.0003010393372,-0.005370157671,-1.116786351e-12,-0.006499991731
i,35,-0.003961101313,-0.001217881881,-0.00358232077,-1.366216168e-13,-0.008761303965
i,36,-0.005814182067,-0.002878407495,-0.0001368115995,2.16134402e-13,-0.008829401161
i,37,-0.007202949498,-0.002385494286,0.0007590426226,2.799583482e-13,-0.008829401161
i,38,-0.007219387404,-0.002207541571,0.0007983275472,2.34189404e-13,-0.008628601427
i,39,-0.006063903676,-0.00204318691,0.00234722658,1.635037591e-13,-0.005759864007
i,40,-0.004496458081,-0.002239791058,0.003780337575,1.014999716e-13,-0.002955911564
i,41,-0.003171834632,-0.001246657092,0.002845610713,5.708844855e-14,-0.001572881012
i,42,-0.001523528322,-0.0006638685337,0.003779485332,2.899243345e-14,0.001592088475
i,43,-0.0003307674198,-0.0001384858135,0.003266429196,1.291328156e-14,0.002797175963
i,44,0.0006816108661,0.0007380657565,0.001377499341,4.58660887e-15,0.002797175963
i,45,0.001542635234,0.0005085382581,0.000227415431,7.74554032e-16,0.002278588924
i,46,0.002365402333,-0.0006018640188,0.0004316318915,-6.561591548e-16,0.002195170205
i,47,0.002712498375,-0.0002585953624,-0.0002587328071,-9.679756996e-16,0.002195170205
i,48,0.002838027832,-0.0008199100494,0.0001770524231,-8.383051198e-16,0.002195170205
